SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,49601,FUTSTK,0,M&M-Jan2026-FUT,200,M&M JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49603,FUTSTK,0,MANAPPURAM-Jan2026-FUT,3000,MANAPPURAM JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49604,FUTSTK,0,MANKIND-Jan2026-FUT,225,MANKIND JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49606,FUTSTK,0,MARICO-Jan2026-FUT,1200,MARICO JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49607,FUTSTK,0,MARUTI-Jan2026-FUT,50,MARUTI JAN FUT,27-01-2026 14:30,-0.01,XX,100,M,FUT,,
NSE,D,49608,FUTSTK,0,MAXHEALTH-Jan2026-FUT,525,MAXHEALTH JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49609,FUTSTK,0,MAZDOCK-Jan2026-FUT,200,MAZDOCK JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49614,FUTSTK,0,MCX-Jan2026-FUT,625,MCX JAN FUT,27-01-2026 14:30,-0.01,XX,100,M,FUT,,
NSE,D,49627,FUTSTK,0,MFSL-Jan2026-FUT,400,MFSL JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49630,FUTSTK,0,MOTHERSON-Jan2026-FUT,6150,MOTHERSON JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49635,FUTSTK,0,MPHASIS-Jan2026-FUT,275,MPHASIS JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49636,FUTSTK,0,MUTHOOTFIN-Jan2026-FUT,275,MUTHOOTFIN JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49645,FUTSTK,0,NATIONALUM-Jan2026-FUT,3750,NATIONALUM JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49658,FUTSTK,0,NAUKRI-Jan2026-FUT,375,NAUKRI JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49677,FUTSTK,0,NBCC-Jan2026-FUT,6500,NBCC JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49678,FUTSTK,0,NESTLEIND-Jan2026-FUT,500,NESTLEIND JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49701,FUTSTK,0,NHPC-Jan2026-FUT,6400,NHPC JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49704,FUTSTK,0,NMDC-Jan2026-FUT,6750,NMDC JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49727,FUTSTK,0,NTPC-Jan2026-FUT,1500,NTPC JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49733,FUTSTK,0,NUVAMA-Jan2026-FUT,500,NUVAMA JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49734,FUTSTK,0,NYKAA-Jan2026-FUT,3125,NYKAA JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49750,FUTSTK,0,OBEROIRLTY-Jan2026-FUT,350,OBEROIRLTY JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49797,FUTSTK,0,OFSS-Jan2026-FUT,75,OFSS JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
NSE,D,49798,FUTSTK,0,OIL-Jan2026-FUT,1400,OIL JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49811,FUTSTK,0,ONGC-Jan2026-FUT,2250,ONGC JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49815,FUTSTK,0,PAGEIND-Jan2026-FUT,15,PAGEIND JAN FUT,27-01-2026 14:30,-0.01,XX,500,M,FUT,,
NSE,D,49831,FUTSTK,0,PATANJALI-Jan2026-FUT,900,PATANJALI JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49832,FUTSTK,0,PAYTM-Jan2026-FUT,725,PAYTM JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49976,FUTSTK,0,PERSISTENT-Jan2026-FUT,100,PERSISTENT JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
NSE,D,49977,FUTSTK,0,PETRONET-Jan2026-FUT,1900,PETRONET JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49978,FUTSTK,0,PFC-Jan2026-FUT,1300,PFC JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
